Vcoarse	Vfine	Fout[0, ::]
-1.00000000000000000E0	-1.00000000000000000E0	5.88123127500706122E10
-1.00000000000000000E0	-7.50000000000000000E-1	5.88162097190447408E10
-1.00000000000000000E0	-5.00000000000000000E-1	5.88213695529501557E10
-1.00000000000000000E0	-2.50000000000000000E-1	5.88283796911064627E10
-1.00000000000000000E0	0.00000000000000000E0	5.88378523731842851E10
-1.00000000000000000E0	2.50000000000000000E-1	5.88517457530877408E10
-1.00000000000000000E0	5.00000000000000000E-1	5.88738376093476745E10
-1.00000000000000000E0	7.50000000000000000E-1	5.89114823095573215E10
-1.00000000000000000E0	1.00000000000000000E0	5.89754930540168054E10
-1.00000000000000000E0	1.25000000000000000E0	5.90733306766024047E10
-1.00000000000000000E0	1.50000000000000000E0	5.91677293364609103E10
-1.00000000000000000E0	1.75000000000000000E0	5.92311580290227635E10
-1.00000000000000000E0	2.00000000000000000E0	5.92742156161296130E10
-1.00000000000000000E0	2.25000000000000000E0	5.93055083349055501E10
-1.00000000000000000E0	2.50000000000000000E0	5.93296522422062811E10
-1.00000000000000000E0	2.75000000000000000E0	5.93482700405633246E10
-1.00000000000000000E0	3.00000000000000000E0	5.93570471996829152E10
-1.00000000000000000E0	3.25000000000000000E0	5.93588422784020331E10
-1.00000000000000000E0	3.50000000000000000E0	5.93592104013364530E10
-1.00000000000000000E0	3.75000000000000000E0	5.93592419915624614E10
-1.00000000000000000E0	4.00000000000000000E0	5.93591949259391427E10

Vcoarse	Vfine	Fout[1, ::]
-5.00000000000000000E-1	-1.00000000000000000E0	5.88486141596830770E10
-5.00000000000000000E-1	-7.50000000000000000E-1	5.88525677912272727E10
-5.00000000000000000E-1	-5.00000000000000000E-1	5.88577934851418405E10
-5.00000000000000000E-1	-2.50000000000000000E-1	5.88649607869824987E10
-5.00000000000000000E-1	0.00000000000000000E0	5.88746432258928820E10
-5.00000000000000000E-1	2.50000000000000000E-1	5.88888254807450018E10
-5.00000000000000000E-1	5.00000000000000000E-1	5.89113241614767080E10
-5.00000000000000000E-1	7.50000000000000000E-1	5.89494984007744360E10
-5.00000000000000000E-1	1.00000000000000000E0	5.90140570797403097E10
-5.00000000000000000E-1	1.25000000000000000E0	5.91122141895797348E10
-5.00000000000000000E-1	1.50000000000000000E0	5.92082034431188386E10
-5.00000000000000000E-1	1.75000000000000000E0	5.92737983988268979E10
-5.00000000000000000E-1	2.00000000000000000E0	5.93175348132669278E10
-5.00000000000000000E-1	2.25000000000000000E0	5.93493830635818398E10
-5.00000000000000000E-1	2.50000000000000000E0	5.93739835527806115E10
-5.00000000000000000E-1	2.75000000000000000E0	5.93929375856870134E10
-5.00000000000000000E-1	3.00000000000000000E0	5.94018824674123369E10
-5.00000000000000000E-1	3.25000000000000000E0	5.94037159143963223E10
-5.00000000000000000E-1	3.50000000000000000E0	5.94040912301906410E10
-5.00000000000000000E-1	3.75000000000000000E0	5.94041236153455188E10
-5.00000000000000000E-1	4.00000000000000000E0	5.94040750983964472E10

Vcoarse	Vfine	Fout[2, ::]
0.00000000000000000E0	-1.00000000000000000E0	5.89143905477971419E10
0.00000000000000000E0	-7.50000000000000000E-1	5.89184884214038629E10
0.00000000000000000E0	-5.00000000000000000E-1	5.89238767004497799E10
0.00000000000000000E0	-2.50000000000000000E-1	5.89312298774403498E10
0.00000000000000000E0	0.00000000000000000E0	5.89411606741006011E10
0.00000000000000000E0	2.50000000000000000E-1	5.89556707897173560E10
0.00000000000000000E0	5.00000000000000000E-1	5.89786006952140518E10
0.00000000000000000E0	7.50000000000000000E-1	5.90173051910145041E10
0.00000000000000000E0	1.00000000000000000E0	5.90823401789789049E10
