Vcoarse	Vfine	KVCO_fine[0, ::]
-1.00000000000000000E0	-8.75000000000000000E-1	1.55878758965148934E7
-1.00000000000000000E0	-6.25000000000000000E-1	2.06393356216430668E7
-1.00000000000000000E0	-3.75000000000000000E-1	2.80405526252441373E7
-1.00000000000000000E0	-1.25000000000000000E-1	3.78907283112487780E7
-1.00000000000000000E0	1.25000000000000000E-1	5.55735196138915999E7
-1.00000000000000000E0	3.75000000000000000E-1	8.83674250397644201E7
-1.00000000000000000E0	6.25000000000000000E-1	1.50578800838500970E8
-1.00000000000000000E0	8.75000000000000000E-1	2.56042977837951691E8
-1.00000000000000000E0	1.12500000000000000E0	3.91350490342437762E8
-1.00000000000000000E0	1.37500000000000000E0	3.77594639434020873E8
-1.00000000000000000E0	1.62500000000000000E0	2.53714770247436538E8
-1.00000000000000000E0	1.87500000000000000E0	1.72230348427337665E8
-1.00000000000000000E0	2.12500000000000000E0	1.25170875103759771E8
-1.00000000000000000E0	2.37500000000000000E0	9.65756292029113617E7
-1.00000000000000000E0	2.62500000000000000E0	7.44711934282531729E7
-1.00000000000000000E0	2.87500000000000000E0	3.51086364782714933E7
-1.00000000000000000E0	3.12500000000000000E0	7.18031487655639733E6
-1.00000000000000000E0	3.37500000000000000E0	1.47249173760986340E6
-1.00000000000000000E0	3.62500000000000000E0	1.26360904083251935E5
-1.00000000000000000E0	3.87500000000000000E0	-1.88262493316650392E5

Vcoarse	Vfine	KVCO_fine[1, ::]
-5.00000000000000000E-1	-8.75000000000000000E-1	1.58145261768188483E7
-5.00000000000000000E-1	-6.25000000000000000E-1	2.09027756582641588E7
-5.00000000000000000E-1	-3.75000000000000000E-1	2.86692073626098631E7
-5.00000000000000000E-1	-1.25000000000000000E-1	3.87297556415710531E7
-5.00000000000000000E-1	1.25000000000000000E-1	5.67290194084167432E7
-5.00000000000000000E-1	3.75000000000000000E-1	8.99947229268493842E7
-5.00000000000000000E-1	6.25000000000000000E-1	1.52696957190948468E8
-5.00000000000000000E-1	8.75000000000000000E-1	2.58234715863494912E8
-5.00000000000000000E-1	1.12500000000000000E0	3.92628439357666048E8
-5.00000000000000000E-1	1.37500000000000000E0	3.83957014156402598E8
-5.00000000000000000E-1	1.62500000000000000E0	2.62379822832244880E8
-5.00000000000000000E-1	1.87500000000000000E0	1.74945657760131823E8
-5.00000000000000000E-1	2.12500000000000000E0	1.27393001259704564E8
-5.00000000000000000E-1	2.37500000000000000E0	9.84019567950134366E7
-5.00000000000000000E-1	2.62500000000000000E0	7.58161316257019013E7
-5.00000000000000000E-1	2.87500000000000000E0	3.57795269012451200E7
-5.00000000000000000E-1	3.12500000000000000E0	7.33378793597412049E6
-5.00000000000000000E-1	3.37500000000000000E0	1.50126317718505842E6
-5.00000000000000000E-1	3.62500000000000000E0	1.29540619567871085E5
-5.00000000000000000E-1	3.87500000000000000E0	-1.94067796264648429E5

Vcoarse	Vfine	KVCO_fine[2, ::]
0.00000000000000000E0	-8.75000000000000000E-1	1.63914944269409157E7
0.00000000000000000E0	-6.25000000000000000E-1	2.15531161835937457E7
0.00000000000000000E0	-3.75000000000000000E-1	2.94127079622802734E7
0.00000000000000000E0	-1.25000000000000000E-1	3.97231866410217327E7
0.00000000000000000E0	1.25000000000000000E-1	5.80404624670715297E7
0.00000000000000000E0	3.75000000000000000E-1	9.17196219866943174E7
0.00000000000000000E0	6.25000000000000000E-1	1.54817983201782239E8
0.00000000000000000E0	8.75000000000000000E-1	2.60139951857635499E8
0.00000000000000000E0	1.12500000000000000E0	3.95344991752105690E8
0.00000000000000000E0	1.37500000000000000E0	4.05880316689880338E8
0.00000000000000000E0	1.62500000000000000E0	2.70210719903350860E8
0.00000000000000000E0	1.87500000000000000E0	1.80494026679107655E8
0.00000000000000000E0	2.12500000000000000E0	1.31039833376586956E8
0.00000000000000000E0	2.37500000000000000E0	1.00486755754150403E8
0.00000000000000000E0	2.62500000000000000E0	7.68313761231994619E7
0.00000000000000000E0	2.87500000000000000E0	3.62445018780822759E7
0.00000000000000000E0	3.12500000000000000E0	7.45694793341064432E6
0.00000000000000000E0	3.37500000000000000E0	1.52056949548339837E6
0.00000000000000000E0	3.62500000000000000E0	1.32446030029296891E5
0.00000000000000000E0	3.87500000000000000E0	-2.00463638488769558E5

Vcoarse	Vfine	KVCO_fine[3, ::]
5.00000000000000000E-1	-8.75000000000000000E-1	1.69063968934021025E7
5.00000000000000000E-1	-6.25000000000000000E-1	2.21016002940979028E7
5.00000000000000000E-1	-3.75000000000000000E-1	2.99390073971862769E7
5.00000000000000000E-1	-1.25000000000000000E-1	4.04104076525573763E7
5.00000000000000000E-1	1.25000000000000000E-1	5.89096983171081501E7
5.00000000000000000E-1	3.75000000000000000E-1	9.27950496184387319E7
5.00000000000000000E-1	6.25000000000000000E-1	1.56606920792724624E8
5.00000000000000000E-1	8.75000000000000000E-1	2.73462851579956068E8
5.00000000000000000E-1	1.12500000000000000E0	4.32998664916656395E8
5.00000000000000000E-1	1.37500000000000000E0	4.32910718820220985E8
5.00000000000000000E-1	1.62500000000000000E0	2.81034942960388134E8
5.00000000000000000E-1	1.87500000000000000E0	1.82997902421997050E8
5.00000000000000000E-1	2.12500000000000000E0	1.30992508331634516E8
5.00000000000000000E-1	2.37500000000000000E0	9.98713466928711036E7
5.00000000000000000E-1	2.62500000000000000E0	7.61755628658447215E7
5.00000000000000000E-1	2.87500000000000000E0	3.62832973875427234E7
5.00000000000000000E-1	3.12500000000000000E0	7.56091736975097728E6
5.00000000000000000E-1	3.37500000000000000E0	1.53051055032348637E6
5.00000000000000000E-1	3.62500000000000000E0	1.34854537017822240E5
5.00000000000000000E-1	3.87500000000000000E0	-1.96391534851074212E5

Vcoarse	Vfine	KVCO_fine[4, ::]
1.00000000000000000E0	-8.75000000000000000E-1	1.96599979416503889E7
1.00000000000000000E0	-6.25000000000000000E-1	2.55081166743774412E7
1.00000000000000000E0	-3.75000000000000000E-1	3.42554993593139656E7
1.00000000000000000E0	-1.25000000000000000E-1	4.60899382123718304E7
1.00000000000000000E0	1.25000000000000000E-1	6.71163704291687147E7
1.00000000000000000E0	3.75000000000000000E-1	1.05467109430358885E8
1.00000000000000000E0	6.25000000000000000E-1	1.76640265756866444E8
1.00000000000000000E0	8.75000000000000000E-1	2.95768050423706086E8
1.00000000000000000E0	1.12500000000000000E0	4.61386697249511712E8
1.00000000000000000E0	1.37500000000000000E0	4.78062229285522555E8
1.00000000000000000E0	1.62500000000000000E0	3.24438307947357174E8
1.00000000000000000E0	1.87500000000000000E0	2.10773678243499774E8
1.00000000000000000E0	2.12500000000000000E0	1.50089685733032252E8
1.00000000000000000E0	2.37500000000000000E0	1.14032068309539802E8
1.00000000000000000E0	2.62500000000000000E0	8.64169158880920563E7
1.00000000000000000E0	2.87500000000000000E0	4.21645458087158254E7
1.00000000000000000E0	3.12500000000000000E0	9.12592501971435510E6
1.00000000000000000E0	3.37500000000000000E0	1.82192001663207992E6
1.00000000000000000E0	3.62500000000000000E0	1.78902171997070303E5
1.00000000000000000E0	3.87500000000000000E0	-2.62772054718017589E5

Vcoarse	Vfine	KVCO_fine[5, ::]
1.50000000000000000E0	-8.75000000000000000E-1	2.75559223888549809E7
1.50000000000000000E0	-6.25000000000000000E-1	3.52440515633239793E7
1.50000000000000000E0	-3.75000000000000000E-1	4.70116452062683088E7
1.50000000000000000E0	-1.25000000000000000E-1	6.33087058144531234E7
1.50000000000000000E0	1.25000000000000000E-1	9.16305262758483785E7
1.50000000000000000E0	3.75000000000000000E-1	1.42583679015472398E8
1.50000000000000000E0	6.25000000000000000E-1	2.35957121411132809E8
1.50000000000000000E0	8.75000000000000000E-1	3.92347719732299804E8
1.50000000000000000E0	1.12500000000000000E0	6.27330197122405941E8
1.50000000000000000E0	1.37500000000000000E0	6.81665793246002227E8
1.50000000000000000E0	1.62500000000000000E0	4.27461155323852449E8
1.50000000000000000E0	1.87500000000000000E0	2.72534157998718252E8
1.50000000000000000E0	2.12500000000000000E0	1.96386701383178708E8
1.50000000000000000E0	2.37500000000000000E0	1.52760994753631563E8
1.50000000000000000E0	2.62500000000000000E0	1.17655069105529786E8
1.50000000000000000E0	2.87500000000000000E0	6.15568732888183590E7
1.50000000000000000E0	3.12500000000000000E0	1.47024581033020008E7
1.50000000000000000E0	3.37500000000000000E0	2.86024531951904271E6
1.50000000000000000E0	3.62500000000000000E0	3.36600593688964844E5
1.50000000000000000E0	3.87500000000000000E0	-2.69050796539306614E5

Vcoarse	Vfine	KVCO_fine[6, ::]
2.00000000000000000E0	-8.75000000000000000E-1	3.03018875204773019E7
2.00000000000000000E0	-6.25000000000000000E-1	3.86870359100952177E7
2.00000000000000000E0	-3.75000000000000000E-1	5.14507117338562026E7
2.00000000000000000E0	-1.25000000000000000E-1	6.97949781290588156E7
2.00000000000000000E0	1.25000000000000000E-1	1.01863325195800769E8
2.00000000000000000E0	3.75000000000000000E-1	1.61049189741729748E8
2.00000000000000000E0	6.25000000000000000E-1	2.76301453172363187E8
2.00000000000000000E0	8.75000000000000000E-1	5.02581365119323742E8
2.00000000000000000E0	1.12500000000000000E0	7.85395897147308197E8
2.00000000000000000E0	1.37500000000000000E0	7.30467793797149589E8
2.00000000000000000E0	1.62500000000000000E0	5.27787064135345396E8
2.00000000000000000E0	1.87500000000000000E0	3.71090716291717504E8
2.00000000000000000E0	2.12500000000000000E0	2.53600526965209916E8
2.00000000000000000E0	2.37500000000000000E0	1.85476368193542451E8
2.00000000000000000E0	2.62500000000000000E0	1.35313020393951389E8
2.00000000000000000E0	2.87500000000000000E0	7.06861094201660034E7
2.00000000000000000E0	3.12500000000000000E0	1.78089402440185540E7
2.00000000000000000E0	3.37500000000000000E0	3.39020709988403279E6
2.00000000000000000E0	3.62500000000000000E0	4.29514956298828121E5
2.00000000000000000E0	3.87500000000000000E0	-2.94867086059570349E5

Vcoarse	Vfine	KVCO_fine[7, ::]
2.50000000000000000E0	-8.75000000000000000E-1	3.66013868305969226E7
2.50000000000000000E0	-6.25000000000000000E-1	4.64926769026794506E7
2.50000000000000000E0	-3.75000000000000000E-1	6.13564431676330635E7
2.50000000000000000E0	-1.25000000000000000E-1	8.25177157419128449E7
2.50000000000000000E0	1.25000000000000000E-1	1.18590453694335940E8
2.50000000000000000E0	3.75000000000000000E-1	1.82999567345123282E8
2.50000000000000000E0	6.25000000000000000E-1	3.00685157343048104E8
2.50000000000000000E0	8.75000000000000000E-1	5.06403914971801772E8
2.50000000000000000E0	1.12500000000000000E0	8.60405697224700816E8
2.50000000000000000E0	1.37500000000000000E0	8.16703287524047639E8
2.50000000000000000E0	1.62500000000000000E0	5.42062261727478134E8
2.50000000000000000E0	1.87500000000000000E0	3.91874371227630558E8
2.50000000000000000E0	2.12500000000000000E0	2.90375138634918173E8
2.50000000000000000E0	2.37500000000000000E0	2.11902278377319364E8
2.50000000000000000E0	2.62500000000000000E0	1.51339415170928926E8
2.50000000000000000E0	2.87500000000000000E0	7.94632495972595176E7
2.50000000000000000E0	3.12500000000000000E0	2.07284200398864726E7
2.50000000000000000E0	3.37500000000000000E0	3.89915289639282170E6
2.50000000000000000E0	3.62500000000000000E0	5.15179754913330079E5
2.50000000000000000E0	3.87500000000000000E0	-3.34423324798583987E5

Vcoarse	Vfine	KVCO_fine[8, ::]
3.00000000000000000E0	-8.75000000000000000E-1	3.37562962870178263E7
3.00000000000000000E0	-6.25000000000000000E-1	4.30329939694519048E7
3.00000000000000000E0	-3.75000000000000000E-1	5.72132889691162028E7
3.00000000000000000E0	-1.25000000000000000E-1	7.80157064512023890E7
3.00000000000000000E0	1.25000000000000000E-1	1.14613913226654063E8
3.00000000000000000E0	3.75000000000000000E-1	1.83682313955932619E8
3.00000000000000000E0	6.25000000000000000E-1	3.24971350569641126E8
3.00000000000000000E0	8.75000000000000000E-1	5.97724720640289320E8
3.00000000000000000E0	1.12500000000000000E0	8.32592153780242938E8
3.00000000000000000E0	1.37500000000000000E0	8.60334828749053848E8
3.00000000000000000E0	1.62500000000000000E0	6.25163687550994940E8
3.00000000000000000E0	1.87500000000000000E0	3.74770089196228051E8
3.00000000000000000E0	2.12500000000000000E0	2.60712641110229493E8
3.00000000000000000E0	2.37500000000000000E0	2.00210487146453886E8
3.00000000000000000E0	2.62500000000000000E0	1.51745212044677769E8
3.00000000000000000E0	2.87500000000000000E0	8.38252841819763184E7
3.00000000000000000E0	3.12500000000000000E0	2.27209928784790005E7
3.00000000000000000E0	3.37500000000000000E0	4.27624892123413058E6
3.00000000000000000E0	3.62500000000000000E0	5.75464757659912163E5
3.00000000000000000E0	3.87500000000000000E0	-3.94080795318603450E5

Vcoarse	Vfine	KVCO_fine[9, ::]
3.50000000000000000E0	-8.75000000000000000E-1	3.38171835749816907E7
3.50000000000000000E0	-6.25000000000000000E-1	4.31342792459106317E7
3.50000000000000000E0	-3.75000000000000000E-1	5.74300311998596147E7
3.50000000000000000E0	-1.25000000000000000E-1	7.84894389216613764E7
3.50000000000000000E0	1.25000000000000000E-1	1.15729978014190671E8
3.50000000000000000E0	3.75000000000000000E-1	1.86581915926208497E8
3.50000000000000000E0	6.25000000000000000E-1	3.33162356005950944E8
3.50000000000000000E0	8.75000000000000000E-1	6.01663640307067915E8
3.50000000000000000E0	1.12500000000000000E0	8.28630129182708686E8
3.50000000000000000E0	1.37500000000000000E0	8.80987886138916210E8
3.50000000000000000E0	1.62500000000000000E0	6.19401937171539352E8
3.50000000000000000E0	1.87500000000000000E0	3.72609224660400429E8
3.50000000000000000E0	2.12500000000000000E0	2.62292441482208272E8
3.50000000000000000E0	2.37500000000000000E0	2.03900467701965304E8
3.50000000000000000E0	2.62500000000000000E0	1.55978469570892342E8
3.50000000000000000E0	2.87500000000000000E0	8.67336293838806149E7
3.50000000000000000E0	3.12500000000000000E0	2.36211626920165996E7
3.50000000000000000E0	3.37500000000000000E0	4.44394268853759655E6
3.50000000000000000E0	3.62500000000000000E0	6.00111204376220719E5
3.50000000000000000E0	3.87500000000000000E0	-3.09741974029540978E5

Vcoarse	Vfine	KVCO_fine[10, ::]
4.00000000000000000E0	-8.75000000000000000E-1	3.38253815372314426E7
