Vcoarse	Vfine	Vo_N.pnmx[::,0][0, ::]
-1.00000000000000000E0	-1.00000000000000000E0	-1.21549103904727707E2
-1.00000000000000000E0	-7.50000000000000000E-1	-1.21734557959249967E2
-1.00000000000000000E0	-5.00000000000000000E-1	-1.21896974316662088E2
-1.00000000000000000E0	-2.50000000000000000E-1	-1.22053449111953349E2
-1.00000000000000000E0	0.00000000000000000E0	-1.22013162133059860E2
-1.00000000000000000E0	2.50000000000000000E-1	-1.21431869681680604E2
-1.00000000000000000E0	5.00000000000000000E-1	-1.21346348208314891E2
-1.00000000000000000E0	7.50000000000000000E-1	-1.24979049334647585E2
-1.00000000000000000E0	1.00000000000000000E0	-1.25893728107591274E2
-1.00000000000000000E0	1.25000000000000000E0	-1.20329162298322889E2
-1.00000000000000000E0	1.50000000000000000E0	-1.15769470147610365E2
-1.00000000000000000E0	1.75000000000000000E0	-1.14004646361163364E2
-1.00000000000000000E0	2.00000000000000000E0	-1.13264078143886127E2
-1.00000000000000000E0	2.25000000000000000E0	-1.12443641083247226E2
-1.00000000000000000E0	2.50000000000000000E0	-1.12205155101652632E2
-1.00000000000000000E0	2.75000000000000000E0	-1.12280561540678803E2
-1.00000000000000000E0	3.00000000000000000E0	-1.12417875136957179E2
-1.00000000000000000E0	3.25000000000000000E0	-1.12454356223475438E2
-1.00000000000000000E0	3.50000000000000000E0	-1.12458029000214710E2
-1.00000000000000000E0	3.75000000000000000E0	-1.12462896853739891E2
-1.00000000000000000E0	4.00000000000000000E0	-1.12503191046038520E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][1, ::]
-5.00000000000000000E-1	-1.00000000000000000E0	-1.21674687660749314E2
-5.00000000000000000E-1	-7.50000000000000000E-1	-1.21480601776391595E2
-5.00000000000000000E-1	-5.00000000000000000E-1	-1.21315654630480196E2
-5.00000000000000000E-1	-2.50000000000000000E-1	-1.21249254012293917E2
-5.00000000000000000E-1	0.00000000000000000E0	-1.21540571278455456E2
-5.00000000000000000E-1	2.50000000000000000E-1	-1.22607508814344812E2
-5.00000000000000000E-1	5.00000000000000000E-1	-1.25229921614409978E2
-5.00000000000000000E-1	7.50000000000000000E-1	-1.26888565773251027E2
-5.00000000000000000E-1	1.00000000000000000E0	-1.23888339071946940E2
-5.00000000000000000E-1	1.25000000000000000E0	-1.17591348830988296E2
