Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[0, ::]
-1.00000000000000000E0	-1.00000000000000000E0	9.55377715824145213E-1
-1.00000000000000000E0	-7.50000000000000000E-1	9.57711668810318884E-1
-1.00000000000000000E0	-5.00000000000000000E-1	9.60600875009196997E-1
-1.00000000000000000E0	-2.50000000000000000E-1	9.64149477930378751E-1
-1.00000000000000000E0	0.00000000000000000E0	9.68957075050612460E-1
-1.00000000000000000E0	2.50000000000000000E-1	9.76004796325772972E-1
-1.00000000000000000E0	5.00000000000000000E-1	9.87120848737944812E-1
-1.00000000000000000E0	7.50000000000000000E-1	1.00585592104462584E0
-1.00000000000000000E0	1.00000000000000000E0	1.03753670173458090E0
-1.00000000000000000E0	1.25000000000000000E0	1.08588351852952769E0
-1.00000000000000000E0	1.50000000000000000E0	1.13196596163664154E0
-1.00000000000000000E0	1.75000000000000000E0	1.16001183596467961E0
-1.00000000000000000E0	2.00000000000000000E0	1.17731389967300082E0
-1.00000000000000000E0	2.25000000000000000E0	1.18947486789653922E0
-1.00000000000000000E0	2.50000000000000000E0	1.19869667755325437E0
-1.00000000000000000E0	2.75000000000000000E0	1.20575758080129525E0
-1.00000000000000000E0	3.00000000000000000E0	1.20904811111136645E0
-1.00000000000000000E0	3.25000000000000000E0	1.20971118101133257E0
-1.00000000000000000E0	3.50000000000000000E0	1.20983747743204084E0
-1.00000000000000000E0	3.75000000000000000E0	1.20983739155444425E0
-1.00000000000000000E0	4.00000000000000000E0	1.20984647794880651E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[1, ::]
-5.00000000000000000E-1	-1.00000000000000000E0	9.74529160957173346E-1
-5.00000000000000000E-1	-7.50000000000000000E-1	9.76859538508227487E-1
-5.00000000000000000E-1	-5.00000000000000000E-1	9.79723290416597337E-1
-5.00000000000000000E-1	-2.50000000000000000E-1	9.83296312205968803E-1
-5.00000000000000000E-1	0.00000000000000000E0	9.88071179058806592E-1
-5.00000000000000000E-1	2.50000000000000000E-1	9.95088269634070599E-1
-5.00000000000000000E-1	5.00000000000000000E-1	1.00620221766089912E0
-5.00000000000000000E-1	7.50000000000000000E-1	1.02501444999627012E0
-5.00000000000000000E-1	1.00000000000000000E0	1.05678644424061119E0
-5.00000000000000000E-1	1.25000000000000000E0	1.10485972768840490E0
-5.00000000000000000E-1	1.50000000000000000E0	1.14983218195048842E0
-5.00000000000000000E-1	1.75000000000000000E0	1.17625347958933801E0
-5.00000000000000000E-1	2.00000000000000000E0	1.19290441324062790E0
-5.00000000000000000E-1	2.25000000000000000E0	1.20478510986094456E0
-5.00000000000000000E-1	2.50000000000000000E0	1.21395053349210791E0
-5.00000000000000000E-1	2.75000000000000000E0	1.22107814998361164E0
-5.00000000000000000E-1	3.00000000000000000E0	1.22444224641059840E0
-5.00000000000000000E-1	3.25000000000000000E0	1.22512575839691173E0
-5.00000000000000000E-1	3.50000000000000000E0	1.22525644744771256E0
-5.00000000000000000E-1	3.75000000000000000E0	1.22525693807276070E0
-5.00000000000000000E-1	4.00000000000000000E0	1.22526590266150848E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[2, ::]
0.00000000000000000E0	-1.00000000000000000E0	1.00669732117182598E0
0.00000000000000000E0	-7.50000000000000000E-1	1.00905567719544642E0
0.00000000000000000E0	-5.00000000000000000E-1	1.01195269955801415E0
0.00000000000000000E0	-2.50000000000000000E-1	1.01559698131964815E0
0.00000000000000000E0	0.00000000000000000E0	1.02040731305426391E0
0.00000000000000000E0	2.50000000000000000E-1	1.02747651720744138E0
0.00000000000000000E0	5.00000000000000000E-1	1.03867302324209021E0
0.00000000000000000E0	7.50000000000000000E-1	1.05756127963380209E0
0.00000000000000000E0	1.00000000000000000E0	1.08914866782724928E0
0.00000000000000000E0	1.25000000000000000E0	1.13618051247452989E0
0.00000000000000000E0	1.50000000000000000E0	1.17721303498001362E0
0.00000000000000000E0	1.75000000000000000E0	1.20190708415269043E0
0.00000000000000000E0	2.00000000000000000E0	1.21826120832920992E0
0.00000000000000000E0	2.25000000000000000E0	1.23048838352826628E0
0.00000000000000000E0	2.50000000000000000E0	1.24020620073330079E0
0.00000000000000000E0	2.75000000000000000E0	1.24786004797109484E0
0.00000000000000000E0	3.00000000000000000E0	1.25150202676839761E0
0.00000000000000000E0	3.25000000000000000E0	1.25224844233177102E0
0.00000000000000000E0	3.50000000000000000E0	1.25239120236823354E0
0.00000000000000000E0	3.75000000000000000E0	1.25239308358466594E0
0.00000000000000000E0	4.00000000000000000E0	1.25240213976088555E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[3, ::]
5.00000000000000000E-1	-1.00000000000000000E0	1.07600268034283530E0
5.00000000000000000E-1	-7.50000000000000000E-1	1.07835040340484944E0
5.00000000000000000E-1	-5.00000000000000000E-1	1.08124581567962252E0
5.00000000000000000E-1	-2.50000000000000000E-1	1.08490940061173013E0
5.00000000000000000E-1	0.00000000000000000E0	1.08964387743123048E0
5.00000000000000000E-1	2.50000000000000000E-1	1.09655048856945569E0
5.00000000000000000E-1	5.00000000000000000E-1	1.10739539105145646E0
5.00000000000000000E-1	7.50000000000000000E-1	1.12543141448636419E0
5.00000000000000000E-1	1.00000000000000000E0	1.15384144576548131E0
5.00000000000000000E-1	1.25000000000000000E0	1.19263638680034845E0
5.00000000000000000E-1	1.50000000000000000E0	1.23019981507063747E0
5.00000000000000000E-1	1.75000000000000000E0	1.25683989478924474E0
5.00000000000000000E-1	2.00000000000000000E0	1.27508193175199658E0
5.00000000000000000E-1	2.25000000000000000E0	1.28834527437393120E0
5.00000000000000000E-1	2.50000000000000000E0	1.29847504718303952E0
5.00000000000000000E-1	2.75000000000000000E0	1.30616066233832129E0
5.00000000000000000E-1	3.00000000000000000E0	1.30976137405328430E0
5.00000000000000000E-1	3.25000000000000000E0	1.31050313058669587E0
5.00000000000000000E-1	3.50000000000000000E0	1.31064297127395690E0
5.00000000000000000E-1	3.75000000000000000E0	1.31064476843974553E0
